Function,Algorithm,Mean,Std,Rank
F1,GBFAO-v4,151.02159149232205,10.107806757194432,5
F1,GBFAO-v3,222.47119003004025,22.504162938058112,6
F1,GBFAO-v2,102.17701213545857,0.7478290402715183,4
F1,GBFAO-v1,100.00000000000004,1.9691137908567695e-14,1
F1,ARO,419.7016923648316,1092.1397997258382,8
F1,PSO,17183.10772384251,9693.423238264795,11
F1,GWO,51239.80135036184,6884.346329594705,12
F1,WOA,411.22711400059785,184.11507591336058,7
F1,DE,100.00105106356568,0.0015971112970288204,2
F1,SMA,100.01211089832512,0.008467179954553093,3
F1,HHO,432.25740288685984,221.78991318095103,9
F1,AO,1728.6343173420462,852.1681973711493,10
F2,GBFAO-v4,1574.1706510591187,534.9846924147835,5
F2,GBFAO-v3,1625.0917481024853,484.2009048377393,6
F2,GBFAO-v2,612.413839433081,142.8228724724769,3
F2,GBFAO-v1,201.34719287461996,2.8327476779151253,1
F2,ARO,3098.4283608359506,5286.9627629166325,7
F2,PSO,32929.70597644228,18786.91198810629,10
F2,GWO,119431.88350602254,29371.152302368344,12
F2,WOA,63206.63808013797,15068.653448669678,11
F2,DE,677.5108906303553,253.351822251534,4
F2,SMA,237.09952864829663,23.438658858329735,2
F2,HHO,32721.63009350315,8618.312940931317,9
F2,AO,12190.870282977647,4612.752855483798,8
F3,GBFAO-v4,1257433.5749029175,521921.47858158534,4
F3,GBFAO-v3,4496253.647299866,1933296.6686720324,6
F3,GBFAO-v2,4038059.610823918,2608490.643833483,5
F3,GBFAO-v1,300.0000000000028,8.946717138751376e-12,1
F3,ARO,24948932.866236642,59569416.236278646,7
F3,PSO,255287318.65662795,283226998.1062527,11
F3,GWO,1365362238.0842004,350415648.5478106,12
F3,WOA,66360895.775868416,63616886.19533299,9
F3,DE,81062.90230280886,551635.5037492319,2
F3,SMA,852511.499354843,494414.4270778811,3
F3,HHO,33650945.30388769,21415115.769155767,8
F3,AO,68811843.76512872,65299990.79442115,10
F4,GBFAO-v4,9880.585967825022,4626.15032321257,5
F4,GBFAO-v3,6865.374308404719,3051.1093932349218,4
F4,GBFAO-v2,5400.669268989153,3703.3289728337727,3
F4,GBFAO-v1,2343.73695986624,2153.244249386032,1
F4,ARO,31408.241782153313,15396.820769350858,7
F4,PSO,54370.89538844279,19863.368226568145,9
F4,GWO,168939.60988316775,49465.46553088111,12
F4,WOA,100679.04958111771,29877.46931363027,11
F4,DE,2727.439761095021,1170.204978761654,2
F4,SMA,15520.037318935887,5986.08741742131,6
F4,HHO,63686.393077582055,10350.095586161264,10
F4,AO,50500.483556876134,13045.318731108178,8
F5,GBFAO-v4,50407.60987148909,22818.493091436394,5
F5,GBFAO-v3,258233.1676070638,97459.97342850699,6
F5,GBFAO-v2,9935.954323510068,8208.721935357777,4
F5,GBFAO-v1,534.1314763880621,39.328989448170056,1
F5,ARO,46402284.18570944,117601086.95066771,10
F5,PSO,8080686042.415638,8616278745.76038,11
F5,GWO,32947523738.32872,7359328116.5309,12
F5,WOA,1094246.8183331627,1278226.6707733348,7
F5,DE,612.9842709935053,141.40716188291535,2
F5,SMA,3039.0414022677846,5142.478345281734,3
F5,HHO,12914871.833742395,15284686.901534703,8
F5,AO,30080195.938764296,33065186.741021957,9
F6,GBFAO-v4,620.4707085327375,0.15091985047487846,7
F6,GBFAO-v3,620.5398734928729,0.1434205291873951,8
