Function,Algorithm,Mean,Std,Rank
F1,GBFAO-v4,365.9786852912777,80.15480659275887,5
F1,GBFAO-v3,400.01370164855814,32.87897349530097,7
F1,GBFAO-v2,369.7482083257205,59.73241983466695,6
F1,GBFAO-v1,361.06827580616255,44.633811769418394,2
F1,ARO,361.0682741437336,33.57515847204928,1
F1,PSO,2783.1779743118045,353.92229139125163,10
F1,GWO,8134.431890376453,1103.2965856696444,12
F1,WOA,608.220762028786,104.77735236389866,8
F1,DE,362.6383291213099,71.54026479036139,4
F1,SMA,361.1110534334518,19.159805471727438,3
F1,HHO,6752.5681587593335,680.7141250376269,11
F1,AO,2552.076146367016,435.9690521901754,9
F2,GBFAO-v4,2831.037122494436,662.3356750755337,5
F2,GBFAO-v3,3479.1569250037883,741.0076857865993,7
F2,GBFAO-v2,1284.3508614346986,167.26513660680678,4
F2,GBFAO-v1,359.4509870593794,32.57787375351395,1
F2,ARO,3110.972791900798,378.49683978793723,6
F2,PSO,5450.319104373845,1212.1891605475166,8
F2,GWO,17090.333990860097,2046.7915653488596,9
F2,WOA,87484.883135051,21714.896181444212,11
F2,DE,1243.7564715402355,202.92355468367955,3
F2,SMA,461.14813894052566,44.901611833431325,2
F2,HHO,101202.32778215127,18392.456504109425,12
F2,AO,17824.93186474943,3244.945107640654,10
F3,GBFAO-v4,2473979.4921428277,429242.73251875094,4
F3,GBFAO-v3,8367704.735054194,1340234.057134461,6
F3,GBFAO-v2,8147108.848180279,1574176.6793343953,5
F3,GBFAO-v1,587.7960454033303,86.92959611170915,1
F3,ARO,25473818.00357716,5560924.271016867,7
F3,PSO,41698654.407268375,4986747.956979274,8
F3,GWO,200333456.7626371,31975023.60227734,12
F3,WOA,106173878.25115283,16020349.081767844,11
F3,DE,144101.13767446237,7840.7063411848785,2
F3,SMA,1607572.9414544976,153677.20044529185,3
F3,HHO,95950069.65547362,6402887.00661774,9
F3,AO,98401708.37599419,9816943.918518418,10
F4,GBFAO-v4,17470.47160896746,2946.4907103226287,6
F4,GBFAO-v3,12814.46818722803,2433.0114611632825,5
F4,GBFAO-v2,10352.456491080768,2029.5457807443427,4
F4,GBFAO-v1,4746.73279433257,827.1327061402025,1
F4,ARO,33254.08114109715,3287.424714117944,9
F4,PSO,8657.700792189484,1197.7124425071231,3
F4,GWO,27525.79458779726,4204.0467971318,7
F4,WOA,149496.84181303316,7807.092981788559,11
F4,DE,5077.5911573352,553.9698251008638,2
F4,SMA,28585.64348824119,3483.2652246928665,8
