Suite,Function,Algorithm,Mean,Std,Rank
CEC-2022,H1,GBFAO-v4,301.90225914453964,0.9417323740776732,5
CEC-2022,H1,GBFAO-v3,311.5474007690945,4.183868914239151,6
CEC-2022,H1,GBFAO-v2,300.16080600739537,0.09702625312633108,4
CEC-2022,H1,GBFAO-v1,300.0,2.666192676669783e-14,1
CEC-2022,H1,ARO,379.2013575177238,314.1210158067305,7
CEC-2022,H1,PSO,1115.0475553035567,1671.2398959472403,10
CEC-2022,H1,GWO,9079.73235329354,2874.257545745832,12
CEC-2022,H1,WOA,2356.07212717364,1329.718268046756,11
CEC-2022,H1,DE,300.00405572734314,0.028390091402010282,3
CEC-2022,H1,SMA,300.0022890934529,0.0027329411043443765,2
CEC-2022,H1,HHO,990.1791357573799,644.0485612683245,9
CEC-2022,H1,AO,639.2051778253957,452.6168630115335,8
CEC-2022,H2,GBFAO-v4,613.2574410742026,27.321392341226872,2
CEC-2022,H2,GBFAO-v3,650.3185271421586,42.62532601772538,4
CEC-2022,H2,GBFAO-v2,644.2671277618921,42.53048065659394,3
CEC-2022,H2,GBFAO-v1,600.0,0.0,1
CEC-2022,H2,ARO,344906.821560556,1430123.8713896323,7
CEC-2022,H2,PSO,8480429.829336843,20978439.775933046,11
CEC-2022,H2,GWO,185548259.02648017,87573547.09811349,12
CEC-2022,H2,WOA,4763227.051138416,2451120.0383211426,10
CEC-2022,H2,DE,20828.867008304547,141602.06905813183,5
CEC-2022,H2,SMA,22181.902179432902,33578.913963187966,6
CEC-2022,H2,HHO,2634654.0262908014,4775415.039702283,9
CEC-2022,H2,AO,2248966.386431092,5155083.544244358,8
CEC-2022,H3,GBFAO-v4,900.0232511072563,0.040264495068031175,2
CEC-2022,H3,GBFAO-v3,900.5651042443423,0.7745466196319848,5
CEC-2022,H3,GBFAO-v2,900.4544654641317,0.855752678589752,4
CEC-2022,H3,GBFAO-v1,900.0,0.0,1
CEC-2022,H3,ARO,8476.020786693467,16396.665167860887,7
CEC-2022,H3,PSO,15506.447396807529,16066.999011739128,9
CEC-2022,H3,GWO,3569745.0566751356,5568210.905941559,12
CEC-2022,H3,WOA,23702.579512337554,6819.52453754518,10
CEC-2022,H3,DE,900.8424539189563,5.608960282504831,6
CEC-2022,H3,SMA,900.0792663302841,0.24480307803119494,3
CEC-2022,H3,HHO,37617.80392751516,14200.263155277205,11
CEC-2022,H3,AO,15130.492359066147,6546.009804983569,8
CEC-2022,H4,GBFAO-v4,1302.1747086758726,117.83149818907665,4
CEC-2022,H4,GBFAO-v3,1785.7092847866265,876.4577557801523,6
CEC-2022,H4,GBFAO-v2,1506.9953745019216,946.9329566429735,5
CEC-2022,H4,GBFAO-v1,1200.3991964582322,1.195832473807296,2
CEC-2022,H4,ARO,2473626.0476060454,14340884.234830432,10
CEC-2022,H4,PSO,85689821.99125533,193177411.33964786,11
CEC-2022,H4,GWO,1378577914.1079483,947510459.8889645,12
CEC-2022,H4,WOA,136590.04873228155,180052.34625226003,9
CEC-2022,H4,DE,1200.0797315822485,0.5581210757283724,1
CEC-2022,H4,SMA,1265.7646083211978,112.45098534661237,3
CEC-2022,H4,HHO,78558.59882243907,159785.77474530094,7
CEC-2022,H4,AO,110844.39572758142,207146.24056010813,8
CEC-2022,H5,GBFAO-v4,1520.1358216971496,0.055738774572232024,10
CEC-2022,H5,GBFAO-v3,1520.164650481376,0.11008667758124083,11
CEC-2022,H5,GBFAO-v2,1519.399531959921,3.706520911035192,1
CEC-2022,H5,GBFAO-v1,1520.1139434732884,0.09655013621641585,7
CEC-2022,H5,ARO,1520.1269859222596,0.059948673636748016,9
CEC-2022,H5,PSO,1520.1256148848856,0.07691534238861465,8
CEC-2022,H5,GWO,1521.0917827102742,0.16266984867335849,12
CEC-2022,H5,WOA,1520.068452046054,0.09240547411112626,4
CEC-2022,H5,DE,1520.0944441110516,0.05544480240985336,6
CEC-2022,H5,SMA,1520.0439028769313,0.04072244829648558,3
CEC-2022,H5,HHO,1520.0723085221928,0.07650964158600917,5
CEC-2022,H5,AO,1520.0008636742173,0.004854273776412861,2
CEC-2022,H6,GBFAO-v4,1806.2025129826818,1.2785240633532273,8
CEC-2022,H6,GBFAO-v3,1805.6425412964331,1.6705290766679235,6
CEC-2022,H6,GBFAO-v2,1805.5111890009557,1.6554651989398514,5
CEC-2022,H6,GBFAO-v1,1806.9617050875684,1.6101906585625831,10
CEC-2022,H6,ARO,1805.7337317699812,1.8805421133122178,7
CEC-2022,H6,PSO,1804.341517353392,1.460650973375658,4
CEC-2022,H6,GWO,1814.5403659959431,1.192297485892656,12
CEC-2022,H6,WOA,1806.4330688977172,1.4192801069409349,9
CEC-2022,H6,DE,1803.1719716575597,1.83184238804558,3
CEC-2022,H6,SMA,1802.9985554946272,0.979224988913543,2
CEC-2022,H6,HHO,1807.1721792814715,1.2039692771323733,11
CEC-2022,H6,AO,1801.4387893597914,1.3571081198994015,1
CEC-2022,H7,GBFAO-v4,2100.2058235833265,0.10028151972847893,4
CEC-2022,H7,GBFAO-v3,2100.290491879708,0.12718949299282156,7
CEC-2022,H7,GBFAO-v2,2100.2794412124754,0.11833178772813098,6
CEC-2022,H7,GBFAO-v1,2100.0797544987013,0.0643311132540395,1
CEC-2022,H7,ARO,2100.247057524999,0.21010160986835386,5
CEC-2022,H7,PSO,2100.8078557154327,0.42648459708379305,9
CEC-2022,H7,GWO,2102.945635279025,0.5491052185130041,12
CEC-2022,H7,WOA,2100.5321982929163,0.2879463780809814,8
CEC-2022,H7,DE,2100.1260195535524,0.08974968831982537,2
CEC-2022,H7,SMA,2100.1784902260642,0.09729601914549128,3
CEC-2022,H7,HHO,2101.871430751277,0.7809154027603098,11
CEC-2022,H7,AO,2101.4705666681666,0.7906024510024868,10
CEC-2022,H8,GBFAO-v4,2417.4366847124043,7.734503973819763,4
CEC-2022,H8,GBFAO-v3,2425.661396259006,11.48790831764308,6
CEC-2022,H8,GBFAO-v2,2425.309868858103,11.93541564017491,5
CEC-2022,H8,GBFAO-v1,2407.7606758072343,3.3711298162868766,1
CEC-2022,H8,ARO,2462.6392548462604,47.73469619895741,8
CEC-2022,H8,PSO,3379.417608349744,1736.953576445892,11
CEC-2022,H8,GWO,12239.456004710551,2711.9295987885034,12
CEC-2022,H8,WOA,2533.2439022356934,66.38390413623955,9
CEC-2022,H8,DE,2407.850690137048,14.078645668898028,2
CEC-2022,H8,SMA,2411.509783594437,6.823244362866228,3
CEC-2022,H8,HHO,2458.458802836695,14.437276850654506,7
CEC-2022,H8,AO,2544.141910281227,197.33057501014275,10
CEC-2022,H9,GBFAO-v4,2700.3522733130285,0.1423792482212701,4
CEC-2022,H9,GBFAO-v3,2705.6146251277455,7.303038311863045,6
CEC-2022,H9,GBFAO-v2,2704.1334844034573,5.792336561208883,5
CEC-2022,H9,GBFAO-v1,2700.0744819848646,0.331964747421249,3
CEC-2022,H9,ARO,2763.2678535079867,106.12666251494626,7
CEC-2022,H9,PSO,2973.833307358963,308.07399438841554,8
CEC-2022,H9,GWO,4855.467353818725,769.7122451028902,12
CEC-2022,H9,WOA,3720.456301966878,585.637478183907,10
CEC-2022,H9,DE,2700.0563582317477,0.3945076222346597,2
CEC-2022,H9,SMA,2700.0002352465444,0.0002469441994367493,1
CEC-2022,H9,HHO,4085.8356545098477,575.7149295877181,11
CEC-2022,H9,AO,3247.3589261466564,541.3207794721934,9
CEC-2022,H10,GBFAO-v4,3010.8935058788416,6.941533422632688,3
CEC-2022,H10,GBFAO-v3,3028.2309486630875,27.67855861134003,5
CEC-2022,H10,GBFAO-v2,3015.460863867089,31.113583496691607,4
CEC-2022,H10,GBFAO-v1,3000.378084441695,0.5933160351734188,1
CEC-2022,H10,ARO,8389.826981503276,11486.070302125365,7
CEC-2022,H10,PSO,22077.993721052524,21111.261037022614,8
CEC-2022,H10,GWO,5252120.983681129,5139661.645192873,12
CEC-2022,H10,WOA,164278.6665024781,334276.6276029641,10
CEC-2022,H10,DE,3009.666905136971,32.563102779918886,2
CEC-2022,H10,SMA,3990.534010761022,1877.6155781333237,6
CEC-2022,H10,HHO,201369.99406613183,211336.83834324614,11
CEC-2022,H10,AO,133903.05394872942,238217.14857794176,9
CEC-2022,H11,GBFAO-v4,3374.359999218026,137.05009673894878,3
CEC-2022,H11,GBFAO-v3,3694.7000867893403,1226.804913530784,5
CEC-2022,H11,GBFAO-v2,3496.754493987167,1200.7701672839003,4
CEC-2022,H11,GBFAO-v1,3313.8454543921357,9.905713101773175,2
CEC-2022,H11,ARO,19974676.634173878,96912502.38589643,10
CEC-2022,H11,PSO,85469517.67320456,194703578.81557375,11
CEC-2022,H11,GWO,1362492590.7386794,814247209.9032311,12
CEC-2022,H11,WOA,909300.1723420047,737975.5179640552,9
CEC-2022,H11,DE,3301.2611632053386,3.574404176417089,1
CEC-2022,H11,SMA,7387.42865307904,6358.920519288293,6
CEC-2022,H11,HHO,31114.731857674014,31814.74055056152,7
CEC-2022,H11,AO,542286.7094476488,811523.5873527168,8
CEC-2022,H12,GBFAO-v4,4391.094150946312,815.2740040806902,2
CEC-2022,H12,GBFAO-v3,68492449.66793959,479312790.41554594,5
CEC-2022,H12,GBFAO-v2,4597.366190223924,1338.9746832917306,3
CEC-2022,H12,GBFAO-v1,3601.499873903759,3.694384943008099e-13,1
CEC-2022,H12,ARO,932283202.9898593,1957557489.093551,8
CEC-2022,H12,PSO,1581263054.935302,3235232765.1434746,10
CEC-2022,H12,GWO,20699433733.568863,29719560876.66991,12
CEC-2022,H12,WOA,759678745.6469998,2340095975.834034,7
CEC-2022,H12,DE,56610.171956464685,99812.02939084254,4
CEC-2022,H12,SMA,542794784.6691144,1690735242.7257836,6
CEC-2022,H12,HHO,1889552197.9648101,1719502662.7021124,11
CEC-2022,H12,AO,1039035715.8380537,2596717672.165317,9
