Problem,Algorithm,Mean,Std
Pressure Vessel Design,GBFAO-v4,6193.459360972308,424.1051694197089
Pressure Vessel Design,GBFAO-v3,6247.584777408248,466.97686785478186
Pressure Vessel Design,GBFAO-v2,6124.371491798654,300.2433148945026
Pressure Vessel Design,GBFAO-v1,5970.522045146806,154.40918497522446
Pressure Vessel Design,ARO,6400.302503481404,465.1487218916653
Pressure Vessel Design,PSO,6279.660492969895,365.56153245414214
Pressure Vessel Design,GWO,17996.13027508083,6120.298044164929
Pressure Vessel Design,WOA,11721.593859810699,4994.881519911338
Pressure Vessel Design,DE,5870.232068717204,0.10232804150743276
Pressure Vessel Design,SMA,6357.222946733458,544.2795441931735
Pressure Vessel Design,HHO,6806.439251544529,425.24480799742975
Pressure Vessel Design,AO,6565.926957575051,465.0337517254093
Tension/Compression Spring,GBFAO-v4,0.012930381322025772,0.00015173075803735222
Tension/Compression Spring,GBFAO-v3,0.013073005760451695,0.00016036983192617259
Tension/Compression Spring,GBFAO-v2,0.013450615434541523,0.0013600727901969
Tension/Compression Spring,GBFAO-v1,0.012936155408940695,0.0003087203259204614
Tension/Compression Spring,ARO,0.01310785982312047,0.0006975308530039316
Tension/Compression Spring,PSO,0.014108194403687694,0.0019064008662816113
Tension/Compression Spring,GWO,0.03982493788813556,0.02226204103259319
Tension/Compression Spring,WOA,0.01376969576540119,0.0011974629039357258
Tension/Compression Spring,DE,0.012671806231414512,1.586733994558374e-05
Tension/Compression Spring,SMA,0.014075840134039253,0.0016512794391601241
Tension/Compression Spring,HHO,0.013858012860166555,0.0009018622371195946
Tension/Compression Spring,AO,0.01374160922973747,0.0009987196236883468
Welded Beam Design,GBFAO-v4,1.98149689983789,0.06325283878400068
Welded Beam Design,GBFAO-v3,2.014549463766657,0.1019589359962909
Welded Beam Design,GBFAO-v2,2.1217808033430674,0.1650063281188149
Welded Beam Design,GBFAO-v1,1.865444950362114,0.0028929095018070056
Welded Beam Design,ARO,1.9249520159306641,0.10148522024148528
Welded Beam Design,PSO,1.9530190382904338,0.10362757466924036
Welded Beam Design,GWO,3.790963447667791,0.7383608296361992
Welded Beam Design,WOA,2.7090134729024222,0.68562593468415
Welded Beam Design,DE,1.8625843607871608,0.0006901861632838444
Welded Beam Design,SMA,1.873559775647768,0.00920938666279034
Welded Beam Design,HHO,2.8353532443954985,0.5658185689634487
Welded Beam Design,AO,2.3596207372265914,0.32137699757554067
Speed Reducer,GBFAO-v4,2996.4355712869924,3.962588520277314
Speed Reducer,GBFAO-v3,3002.0822878704544,7.241104215925768
Speed Reducer,GBFAO-v2,3002.6961722909077,5.589327742360904
Speed Reducer,GBFAO-v1,2993.909076237685,0.04372953202716523
Speed Reducer,ARO,3001.370827803165,12.00260161646687
Speed Reducer,PSO,3065.0208666284557,73.72091685311874
Speed Reducer,GWO,28145.052329118356,20364.214726799342
Speed Reducer,WOA,4142.730586738455,986.7030356254527
Speed Reducer,DE,2997.8466545867577,11.924008666052663
Speed Reducer,SMA,2997.288877005929,3.007469610194959
Speed Reducer,HHO,4147.4836346173015,640.643614154346
Speed Reducer,AO,3010.472170687463,8.678745688116994
Three-Bar Truss,GBFAO-v4,100.14079637186171,1.1007680729470101e-14
Three-Bar Truss,GBFAO-v3,100.14552624446218,0.012432767418422256
Three-Bar Truss,GBFAO-v2,100.14402271576168,0.005827217132900781
Three-Bar Truss,GBFAO-v1,100.14079637186171,1.2710574864626037e-14
Three-Bar Truss,ARO,100.21181954216817,0.07102317030646788
Three-Bar Truss,PSO,100.28284271247462,1.4210854715202004e-14
Three-Bar Truss,GWO,536.6756103042491,1284.8690070251907
Three-Bar Truss,WOA,105.77126725123443,10.000957304141767
Three-Bar Truss,DE,100.28284271247462,1.4210854715202004e-14
Three-Bar Truss,SMA,100.14079637426657,5.684440331482144e-09
Three-Bar Truss,HHO,100.14082731895957,9.28412935759108e-05
Three-Bar Truss,AO,101.19343624484745,3.05836221581718
